"Number","Title","State","Milestone","Labels","Assignees","Created","Updated","URL","Body"
"1763","Concept tracing information - Modification indicators","OPEN","(none)","Design, V3","jamlung-ri, paulsonder","2024-02-09","2024-02-09","https://github.com/OpenConceptLab/ocl_issues/issues/1763","A user needs to be aware if the concept in a repo/collection that they are viewing is ""original"" (i.e. is the same as the source concept) or ""modified"" (i.e. its details, mappings, etc. differ from the source concept).   In TBv2, this only manifests when the mappings of a concept differ from its original source vs. what is being displayed on the concept from the context of a collection.   Complexities from this [OCL Arch Call](https://docs.google.com/document/d/157ChmfmYLGLEg_fO4cE7oMqtGpL4PchUkEhNfUUMxdo/edit#bookmark=id.pbgpc2ccacvm):  - Demo concepts: [MSF concept](https://app.openconceptlab.org/#/orgs/MSF/sources/MSF/concepts/1290/) (original from source) vs. [MSF-OCB concept](https://app.openconceptlab.org/#/orgs/MSF-OCB/collections/Trauma/HEAD/expansions/autoexpand-HEAD/concepts/1290/) (modified mappings in collection) (see screenshots below) - Test case - when I add the concept from the MSF-OCB collection, I expect to see the concept and mappings from the MSF-OCB collection. Currently OCL points directly back to the original MSF sourceΓÇÖs mappings though. - Complexities:      - ThereΓÇÖs a balance to strike between the dictionary management/auto-expand perspective vs. the traditional TS/FHIR/non-auto-expand perspective      - When viewing the Concepts tab in the context of a collection/valueset, OCL currently displays:      - Left: Codes/mappings from their codesystems/sources           - If you check concept on the left and ΓÇ£add it to a collectionΓÇ¥, the reference points to the source, not the collection      - Right: Concept from collection context (cascaded within context), and the link at the top of the details pane is to the source          - Header and attributes are populated from source viewpoint          - Display name can be set in a reference/valueset ΓÇô not clear if the TB shows the display name from the ValueSet, or if it only shows the info from the underlying source; but we know that the TB doesnΓÇÖt handle context or any other types of modifications that a user might eventually be able to make to a concept within a reference          - ΓÇ£AssociationsΓÇ¥ section cascades from collection viewpoint   Original MSF Concept: <img width=""740"" src=""https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL0ZJQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--55dbc07bf7c3fd2b1516556bb2827fafc140e08b/image.png"" alt=""image.png"" />   ""Modified"" MSF Concept: <img width=""1721"" src=""https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL0pJQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--3eea7477d821f027259573fe87b16eeec03eb230/image.png"" alt=""image.png"" />  "
"1766","Generate additional analytics","OPEN","(none)","analytics","snyaggarwal","2024-02-13","2024-03-12","https://github.com/OpenConceptLab/ocl_issues/issues/1766","Add these to the monthly report -- (and please re-run the prod report after these have been added!): - Top X most mapped sources (e.g. target sources) ΓÇô over a given time period and across all OCL content - Top X most mapped concepts (e.g. target concepts) ΓÇô over a given time period and across all OCL content - Top X most referenced sources - Top X most referenced concepts  Via cloudwatch: - Top X searches over a given time period - Top X most viewed (eg requested the details of a source via API or TB) sources over a given time period - Top X most viewed collections over a given time period - Top X most viewed concepts over a given time period "
"1768","ES (and other) service dev debugging documentation","OPEN","(none)","documentation, ES","rkorytkowski, snyaggarwal","2024-02-13","2024-03-12","https://github.com/OpenConceptLab/ocl_issues/issues/1768",""
"1769","User Language Preferences","OPEN","(none)","documentation-needed, V3","paynejd, jamlung-ri","2024-02-13","2024-03-12","https://github.com/OpenConceptLab/ocl_issues/issues/1769","What effects do a user's Language preference(s) have throughout the TermBrowser? We should document what this field on the User Profile will do.  _Originally posted by @jamlung-ri in https://github.com/OpenConceptLab/ocl_issues/issues/1617#issuecomment-1941450447_             "
"1772","UI Method for adding collection-based reference to a collection","OPEN","(none)","V3, web3","jamlung-ri","2024-02-14","2024-03-12","https://github.com/OpenConceptLab/ocl_issues/issues/1772","Now that we worked on the API piece, we need a simple way to add a concept to a collection, giving the user a way to decide which content to use if applicable. This affects how cascade can resolve if the mappings to a concept differ between the source and the collection.                This is working well on Prod! Note that I only used the API method, and this doesn't cover anything in the UI yet. TB still doesn't have a great way to add a concept from the source's perspective vs. from the collection's perspective though. We can address that in another ticket.  _Originally posted by @jamlung-ri in https://github.com/OpenConceptLab/ocl_issues/issues/1764#issuecomment-1944038728_             "
"1782","Implement standalone reference support in CSV bulk import","OPEN","(none)","enhancement, api2, bulk-import","","2024-02-26","2024-03-12","https://github.com/OpenConceptLab/ocl_issues/issues/1782","We are missing support for a standalone reference row in the CSV bulk import format. For example, we want to support a CSV row that looks something like this (Note: this syntax still needs to be confirmed):  | resource_type | collection_url | data:expressions | | -- | -- | -- | | Reference | /orgs/mohlk/collections/HIMScloudPhysicalActivity/ | /orgs/mohlk/sources/HIMScloudSource/concepts/LK-PA-01/ | "
"1801","User Profile - Summary API","OPEN","(none)","V3","paynejd, paulsonder","2024-03-12","2024-03-12","https://github.com/OpenConceptLab/ocl_issues/issues/1801","Let's think about what summary information about a user needs to be displayed on their profile.  One additional note: We will want to ensure that we open up user profiles more publicly, since I believe we currently cannot view other people's profiles, if I'm not mistaken?  > We dont have a verbose summary API for a user/org (which I think we should). >  > Right now in user summary we can get following: > - count of sources > - count of collections > - count of orgs membership > - count of orgs directly owned > - count of bookmarks  _Originally posted by @snyaggarwal in https://github.com/OpenConceptLab/ocl_issues/issues/1756#issuecomment-1960726098_             "
"1805","Repo Version Summary counts are often incorrect","OPEN","(none)","bug, api2","snyaggarwal","2024-03-13","2024-05-21","https://github.com/OpenConceptLab/ocl_issues/issues/1805","Following large imports or large version export creations, this summary count of concepts and mappings is often incorrect, showing 0 of either resource or an otherwise incorrect number. This leads the user to having to use the Recalculate Summary button somewhat often.  Is there any quick fix that could be done, even if it means waiting to calculate the summary until later?  Screenshot where the issue is not occurring, but wanted to show which numbers I am talking about.  ![image](https://github.com/OpenConceptLab/ocl_issues/assets/55999682/8ff7865a-1cb8-42dc-8f67-bf938b617470) "
"1811","Draft checksum documentation (to go into OCL Docs)","OPEN","(none)","reviewed/keep","paynejd, snyaggarwal","2024-03-15","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/1811","@snyaggarwal   - [x] Fields for standard/smart checksums for both concepts and mappings - [x] Description of algorithm for resource-level checksum - [x] Description of algorithm for repo-level checksum"
"1867","Create independent script for standard and smart checksums for concepts and mappings","OPEN","(none)","api2","snyaggarwal","2024-06-24","2024-12-02","https://github.com/OpenConceptLab/ocl_issues/issues/1867","We want a script that can be run outside of the OCL core services. The script can be either python or javascript -- python might be easier for the moment. It must have the logic required to generate standard and smart checksums for concepts or mappings. The user should not need to know which fields should be included for standard/smart checksums -- this needs to be embedded in the script.  The initial goal is to enable @bmamlin to create checksums for CIEL resources outside of OCL to support validation workflows.  Also see #1691 "
"1868","Enable creating/importing/editing resource in an older repo version","OPEN","(none)","enhancement, api2, medium-difficulty","paynejd, snyaggarwal","2024-06-25","2024-06-25","https://github.com/OpenConceptLab/ocl_issues/issues/1868","**Challenge:** Version Model for resources and repo works on created_at. created_at is system generated datetime field, and cannot be tempered from outside. Whatever gets created later is the newer version.  **Tasks** 1. Need to establish a link between versions (linked list). Probably each versioned resource needs to have a URI of the previous    - `previous_version_uri` -- will this affect standard checksum?    - `version_order` -- for quick sorting 2. List versions -- Sort on all versions by `version_order` - 0 for initial version higher being newer 3. Latest version -- Sort on all versions by `version_order` and get max. 4. New version creation can have:    - `new_version.previous_version_uri=existing_latest_version.uri` and `new_version.version_order=existing_latest_version.version_order + 1` 5. In between version creation needs to be created with `previous_version_uri` in payload. (considering the `new_version` is added after a version say `previous_version`.     - `existing_next_version` is version where `versions.previous_version_uri=pervious_version_uri`    - `new_version.previous_version_uri=previous_version_uri` and `new_version.version_order=previous_version.version_order + 1`    - `existing_next_version.previous_version_uri=new_version.uri` and `existing_next_version.version_order=new_version.version_order + 1` 6. `previous_version_uri` and `version_order` cannot be edited from outside. 7. Latest version will have `is_latest_version=true` just like now for resources. For Repo we must add this to make it consistent and faster to lookup.  "
"1887","v3 Search does not return private content","OPEN","(none)","V3","snyaggarwal","2024-07-15","2024-08-09","https://github.com/OpenConceptLab/ocl_issues/issues/1887","When I search for a [private source on QA](https://app.v3.qa.openconceptlab.org/#/orgs/private-org/sources/private-source/) from the v3 search, it doesn't appear. I can access the source directly from the organization, but the repo doesn't appear in global search.  Note that you can only tell the source is private from the v2 TermBrowser: https://app.qa.openconceptlab.org/#/orgs/private-org/sources/private-source/ @paulsonder Should this privacy status appear in the Repository designs? e.g. https://zpl.io/eznn8ql - I assume yes, unless we are waiting for the Permissions Framework.   @snyaggarwal Is this an intentional decision or a bug?  ![Private source search result failure](https://github.com/user-attachments/assets/095b7f03-23a3-4a6f-96f2-d0b9ad7863b9) "
"1891","Freeze large resources upon deletion request","OPEN","(none)","V3","","2024-07-16","2024-07-20","https://github.com/OpenConceptLab/ocl_issues/issues/1891","Deleting a large repo or org is pretty confusing for a user. There is no ""Processing"" flag. Content is not ""frozen"". They can continue to interact with the content while it is being processed asynchronously without any indication that it is being deleted.  Ideas for how we handle this: - Implement ""Frozen"" flag -- content that is frozen can only be viewed; the flag should be visible to users - When requesting a delete, OCL first ""freezes"" the content (assuming that this is a quick process?), and then kick off the deletion process  The idea is that ""Freezing"" content will be useful for other purposes: Loading a large repo; processing a large version; evaluating a large expansion; etc.  Finally, if I request a delete in TBv3, the UI should immediately respond, display a flag, etc. "
"1893","Repository / Operations","OPEN","(none)","V3","paulsonder","2024-07-16","2024-07-16","https://github.com/OpenConceptLab/ocl_issues/issues/1893","User Story: View a list of possible operations and supported parameters and a way to trigger the operation and see results  Requirements: - Provide a menu option for the user to open the operations panel to a relevant operation based on the repo-type, pre-populated with the current repo - Which operations are available must be context-aware based on the repo-type"
"1911","OCL CSV exports truncated at 1000","OPEN","(none)","reviewed/keep","","2024-08-05","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/1911","Issue tracker is **ONLY** used for reporting bugs. New features should be discussed with us on [OCL Chat](https://chat.openconceptlab.org/) or on one our slack channels.  When used to export the codes as CSV the list is truncated at 1000 There are 55066 codes https://api.openconceptlab.org/orgs/CIEL/sources/CIEL/ But, CSV has only 1000  Export also SHOULD have the CONCEPT NAME "
"1925","Request: Automatically add self-map","OPEN","(none)","enhancement, openmrs, api2, reviewed/keep","","2024-09-11","2026-03-24","https://github.com/OpenConceptLab/ocl_issues/issues/1925","When Ellen creates a concept in her source, she expects that all concepts will have a mapping to itself. This will be the case with CIEL in the future also.   Perhaps this could be a setting in the source, similar to Auto-assign ID?"
"1970","Mobile-ready screens for V3","OPEN","(none)","V3, OHIE Must-Haves","snyaggarwal","2024-11-06","2024-11-07","https://github.com/OpenConceptLab/ocl_issues/issues/1970","OCLv3 is currently not mobile ready, but many people will access v3 first on their phone.   @snyaggarwal How possible will it be to optimize some screens for mobile by the start of OHIE24? We would want to prioritize anonymous dashboard, searchlight, search results, and concept details"
"1971","Mobile updates","OPEN","(none)","Design, V3, reviewed/keep","paulsonder","2024-11-13","2026-03-26","https://github.com/OpenConceptLab/ocl_issues/issues/1971","### Dashboard  ![iPhone 16 - 1](https://github.com/user-attachments/assets/7409ca78-8937-4461-ad9f-9d54f0a115e4)   Repo"
"2056","Concept Details Query Gone Wrong","OPEN","(none)","bug","snyaggarwal","2025-02-05","2025-02-05","https://github.com/OpenConceptLab/ocl_issues/issues/2056","The concept details panel on the right is not showing the correct concept when clicking on a concept in the Mappings section. See the video below, where the user clicks on CIEL's concept 971, but instead of showing that concept, it shows concept 971 from the source that the user is working on. See ""Aborto inevitable"" appearing instead of CIEL's concept ""Father"", which should have appeared.  I was able to recreate this on OCL Online, both on the source in the video and in my own custom source. This appears to be a bug everywhere. TermBrowser seems to be directing the user to the source correctly, but the details pane is querying the wrong source.  **This is a high priority bug to fix**  Video: https://github.com/user-attachments/assets/f6fb9372-417b-43c8-80c2-023d2f325e22  Thanks to Alvaro Mendoza-Li for pointing this out!"
"2057","Collection Importing via Version Export","OPEN","(none)","enhancement, bulk-import","snyaggarwal","2025-02-07","2025-02-26","https://github.com/OpenConceptLab/ocl_issues/issues/2057","While sources are able to successfully be transported between two OCL servers using export.json files, collection versions are not working in that way. When we try, OCL returns an error `""errors"": {  ""collection"": ""Version Head not found.""   }`  A user should be able to use a collection version export JSON file from OCL to recreate that collection in another OCL server. Collection versions currently include references, so the MVP of this would be to create the collection (if needed) and then import the references from the collection version JSON.   Collection version JSON files do NOT include an expansion, but we can ignore that for now and just do an autoexpand.  A next stage for this might be to be responsive to the concepts and mappings in the collection version JSON, but that probably requires more discussion."
"2149","The first version's hierarchy different from the HEAD's","OPEN","(none)","web2, reviewed/keep","","2025-04-09","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/2149","<!--- Provide a general summary of the issue in the Title above -->  Why does the [newly created version](https://app.openconceptlab.org/#/users/forest/sources/DemoFoods/25.04.08.01/) (the 1st one) of [my demo source](https://app.openconceptlab.org/#/users/forest/sources/DemoFoods/) have a hierarchy different from the [HEAD](https://app.openconceptlab.org/#/users/forest/sources/DemoFoods) versionΓÇÖs although nothing is changed to the content?  Hierarchy of the version [HEAD]  ![Image](https://github.com/user-attachments/assets/83693223-2dd8-405b-8df1-c807e5b202cb)  Hierarchy of the version 25.04.08.01  ![Image](https://github.com/user-attachments/assets/bbfd8c85-1ed1-4ba6-b71b-594961d8bfe9)  In other words, why would the hierarchy get messed up?  ## Expected Behavior <!--- Tell us what should happen --> **Comments by Joseph Amlung** The hierarchy should be appearing the same in both HEAD and in the version.  ## Current Behavior <!--- Tell us what happens instead of the expected behavior --> The hierarchy would showed diferently in the HEAD version and the 1st version. **Comments by Joseph Amlung**  The hierarchy_root_url and hierarchy_meaning looks correct in both the HEAD and in the source version, and the concepts are both traversing down the hierarchy correctly.  ## Possible Solution <!--- Not obligatory, but suggest a fix/reason for the bug, --> **Comments by Sny Aggarwal**  I think this is a genuine bug in the UI."
"2153","Mappings should persist repo URLs as submitted by the user","OPEN","(none)","api2, reviewed/keep","snyaggarwal","2025-04-15","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/2153","When we did the major update to OCL on mappings and canonical URLs, our decision was that attributes must be recorded as the user submitted them in almost all cases. It is possible that we did not finish this work, but regardless, the from and to sources need to maintain a canonical URL if it is provided. Internally, we can (and should) _resolve_ the canonical URL to a relative URL, and we may (or may not) want to include that info in the response.  Determine the impact of this change across the oclapi2, oclweb2, oclweb3 and draft the implementation approach before proceeding."
"2193","OCL Caching & Performance Spike","OPEN","(none)","reviewed/keep","snyaggarwal","2025-06-23","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/2193"," - [x] Cache TBv2's first page of latest released repo version (excluding HEAD) to enable quick page loads   - [ ] Verify that this feature is also implemented in TBv3 - [ ] Analyze the most common queries to determine other big-win caching solutions - [ ] Analyze performance of LOINC (which is very large!) and define performance improvement opportunities "
"2194","Cannot update user email address","OPEN","(none)","reviewed/keep","","2025-06-25","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/2194","<!--- Provide a general summary of the issue in the Title above --> Currently, it isn't possible to update user email address.   ## Expected Behavior User profile should be updated and new email address should be displayed instead of the old email address  ## Current Behavior Saving the update profile form shows a success message but the email stays the same  <img width=""1123"" alt=""Image"" src=""https://github.com/user-attachments/assets/0b948c7d-ca34-4352-b962-b7cb4098e959"" />  ## Possible Solution Possibly an issue with the update implementation not supporting it email change.  ## Steps to Reproduce  1. Login to OCL https://app.openconceptlab.org (successful  login will open your profile) 2. Click on the `Edit Profile` button on the left section below the profile photo. That will open a workspace on the right where you can change your email address 3. After completing the edits, click the `Update` button. This action will show a success message on the top right showing success and the workspace will be closed automatically. 4. Check the left section to see if the email has changed. You will notice it stays the same. We've attempted this with `ocladmin` rights as well but the new email reverts to the old email.   ## Context (Environment) <!--- How has this issue affected you? What are you trying to accomplish? --> <!--- Providing context helps us come up with a solution that is most useful in the real world -->  <!--- Provide a general summary of the issue in the Title above -->  ## Detailed Description <!--- Provide a detailed description of the change or addition you are proposing -->  ## Possible Implementation <!--- Not obligatory, but suggest an idea for implementing addition or change --> "
"2231","Dynamic reference cascade should account for equivalence to avoid false validation errors","OPEN","(none)","api2, reviewed/keep","","2025-09-03","2026-03-20","https://github.com/OpenConceptLab/ocl_issues/issues/2231","When adding a concept to a source with cascade, we check for equivalence. This means, when considering the addition of any concept X during the cascade, if an existing concept in the source is mapped SAME-AS concept X, we do not add concept X and any mappings for it are adjusted to point the equivalent concept in the source as they are added.  For example, if the CIEL concept ""Home electricity?"" is being added and the source already has concepts mapped SAME-AS to its ""Yes"" and ""No"" answers, the concept is added with mappings to existing ""Yes"" and ""No"" concepts within the source.  When dynamic references are added to a collection, custom validation rules are run against the result of merging the cascaded results with the collection (without considering equivalency and removing duplicates), causing false duplicate name validation errors.  Using the previous example, when trying to add the CIEL concept ""Home electricity?"" a collection as a dynamic reference, the validation schema is run against the combination of the collection's existing concepts and the cascade results, which includes ""Yes"" and ""No"" in the collection (mapped SAME-AS to CIEL equivalents) _and_ the ""Yes"" and ""No"" from CIEL, resulting in duplicate name errors.  Two possible solutions:  1. **Add equivalency logic to custom validation**. In the context of adding a dynamic reference to a collection, adapt custom validation to replicate the equivalency logic, so any instances of the same source + code or cases where an existing concept has a SAME-AS mapping to a candidate concept, the candidate and any children would be ignored. This has the downside of needing to ensure the logic for equivalency checking for custom validation is kept aligned with the equivalency checking used when expanding a collection.  2. **Add equivalency checking to cascading of the dynamic references**. Adapt the logic of cascading dynamic references to account for equivalency, so any concepts that already exist in the collection (same source+code or mapped SAME-AS to the candidate concept) are skipped and any mappings to them are adjusted to point to the collection's existing concept. This has the advantage that validation would be run against the outcome of cascading instead of an interim (un-deduplicated) state, but may be more challenging or have performance costs."
"2256","""Add Reference"" UI cascade options need to catch up with rest of TB","OPEN","(none)","reviewed/keep","snyaggarwal","2025-10-24","2026-03-24","https://github.com/OpenConceptLab/ocl_issues/issues/2256","We originally were letting this ""Add References (from the collection)"" UI lag behind because we were moving so much on TBv3, but we now are in a spot where we need to bring this UI up to date with the regular ""Add to Collection"" button that most people use. It's currently adding version numbers onto concepts/mappings that are added from this UI.  This UI needs to not include the version numbers on concept and mapping references. Also, the concept/mapping query to a source version is using a parameter that makes it so that 0 concepts are returned. Example (where it seems that the excludeWildcard parameter is the issue?): https://api.openconceptlab.org/orgs/CIEL/sources/CIEL/v2025-10-19/concepts/?excludeWildcard=true&excludeFuzzy=true&q=&page=1&limit=25&includeSearchMeta=true&verbose=false&sortDesc=_score  <img width=""1395"" height=""920"" alt=""Image"" src=""https://github.com/user-attachments/assets/1a270e04-63ff-4b8c-a9cd-ef6232de1dd3"" />  <img width=""1277"" height=""907"" alt=""Image"" src=""https://github.com/user-attachments/assets/3de480ac-5d41-41d8-b0ab-81e5df9adb91"" />  "
"2257","Deleting Auto-expand HEAD for a collection","OPEN","(none)","reviewed/keep","snyaggarwal","2025-10-24","2026-03-20","https://github.com/OpenConceptLab/ocl_issues/issues/2257","OCL currently allows a user to delete their Auto-expand-HEAD expansion on their collection. There are a couple of actions that we need to take on this: 1. We should add a dialog box that warns the user about deleting their auto-expand HEAD. Basically an ""are you sure about this"" dialog. 2. If I already did delete my autoexpand-HEAD version, then I try to recreate it, it needs to have the ""A"" icon for auto-expand, since it's now effectively my official autoexpand-HEAD expansion for that collection.  See screenshot below, where the ""A"" is missing because I deleted and ""recreated"" the autoexpand-HEAD expansion. It still acts like an autoexpand, but it doesn't seem to be the ""official"" one. Not sure if that has other behavioral impacts.  <img width=""1855"" height=""698"" alt=""Image"" src=""https://github.com/user-attachments/assets/44a6eb51-4e72-4df0-81f1-79d985360a06"" />  "
"2264","oclapi2 uses broken docker redis tag as dependency","OPEN","(none)","reviewed/keep","","2025-11-24","2026-03-20","https://github.com/OpenConceptLab/ocl_issues/issues/2264","https://github.com/OpenConceptLab/oclapi2/pull/808#discussion_r2556027317  Fastest solution is using tagless image. Why not? It worked for me locally"
"2266","Simplified CSV output that combines concepts and mappings","OPEN","(none)","reviewed/keep","","2025-11-25","2026-03-20","https://github.com/OpenConceptLab/ocl_issues/issues/2266","OCL's export formats (Concepts CSV, Mappings CSV, and Export JSON) do not meet user requirements of having a full representation of a repository in a concept-focused way, particularly without limiting the number of resources to 1000.  We are exploring a new format that transforms OCL's export JSON into a concept-anchored CSV (meaning, each row is one concept, and those concepts' mappings are displayed in the same row).  A Python notebook to illustrate this work is here: https://colab.research.google.com/drive/1TH8j-95F1D19dgFpbMwhD1_A2eYRepGU?usp=sharing   Potential goals:  > In an ideal world, a new csv format would solve these problems simultaneously: >  * Export format from OCL >  * Compatible as an input dataset for OCL Mapper >  * Compatible with OCL's bulk import format >  * Very human-readable (Unlike the JSON format) >  * Comprehensive??? JSON represents 100% of concept metadata -- should this? >  * Enable representation of collection references? "
"2280","Automated migration script for resource version reference transformation","OPEN","(none)","reviewed/keep","paynejd, snyaggarwal, jamlung-ri","2025-12-17","2026-03-20","https://github.com/OpenConceptLab/ocl_issues/issues/2280","## Overview Develop an automated migration script to review all existing collection references and transform deprecated resource version references to valid reference models where possible.  ## Background Resource version references (format: `/:ownerType/:owner/sources/:source/concepts/:concept/:resourceVersion/`) are being deprecated in favor of: - **Version-less references**: `/:ownerType/:owner/sources/:source/concepts/:concept/` - **References with Repo Version**: `/:ownerType/:owner/sources/:source/:repoVersion/concepts/:concept/`  ## Script Requirements  ### Inputs (per reference) - The resource versioned reference being evaluated - Collection version's metadata and other references - Collection version's expansions  ### Transformation Logic  **Priority 1: Transform to version-less reference** - Referenced resource version is current HEAD/latest version - No locked/released expansion depends on specific resource version - Concept is not retired or inactive - No conflicting version references to same concept  **Priority 2: Transform to reference with Repo Version** - Collection version has expansion from specific source version - Resource version exists within that source version - Source version is still accessible - Use source version matching expansion resolution timestamp  **Flag for Manual Intervention** - Resource version not resolvable to HEAD or known source version - Concept retired/deleted (may be intentional for historical purposes) - Multiple valid source versions with no clear tiebreaker - Conflicting version references in same collection - Dependent mappings that wouldn't resolve correctly  ## Output - List of successfully transformed references (by type) - List of references requiring manual review with reasons - Confidence scores for transformations (if applicable) - Summary statistics  ## Related Issues Part of expansion versioning and reference transformation work (#2272-#2279)  ## Assignees @snyaggarwal @jamlung-ri"
"2281","Proposal to support download of a concept's mappings as a valueset","OPEN","(none)","reviewed/keep","","2025-12-18","2026-03-24","https://github.com/OpenConceptLab/ocl_issues/issues/2281","***THIS TICKET IS NOT READY FOR DEVELOPMENT YET***  Thanks to @delcroip for suggesting this feature  **Use Case:** CIEL:116128 has many mappings: https://app.openconceptlab.org/#/orgs/CIEL/sources/CIEL/concepts/116128/. I want an endpoint to download those mappings (optionally with filtering, e.g. only SAME-AS) as a ValueSet that I can easily refer back to.  **MVP Proposal** - Implement a new OCL API endpoint with optional filtering (e.g. map-types, repo/source), e.g.: https://api.openconceptlab.org/orgs/CIEL/sources/CIEL/concepts/116128/$getMappingsAsValueSet?mapTypes=SAME-AS,NARROWER-THAN,BROADER-THAN. This is a custom OCL API format -- we expect long-term that we would want a compliant FHIR method to request this, likely via an $expand request with a novel compose statement. - Return a minimalist FHIR-compliant ValueSet response of a conceptΓÇÖs mappings: ``` {   ""name"": ""Mappings for CIEL:116128"",   ""url"": ""https://api.openconceptlab.org/orgs/CIEL/sources/CIEL/concepts/116128/$getMappingsAsValueSet?mapTypes=SAME-AS,NARROWER-THAN,BROADER-THAN"",   expansion: {     contains: []   } } ```"
"2407","Move OIDC client secret from frontend to backend (oclweb3 + oclapi2)","OPEN","(none)","reviewed/keep","paynejd, snyaggarwal","2026-03-13","2026-03-20","https://github.com/OpenConceptLab/ocl_issues/issues/2407","## Summary  The OIDC authorization code exchange flow currently requires the frontend (`oclweb3`) to hold and transmit the `OIDC_RP_CLIENT_SECRET` to the backend. Per OAuth 2.0 best practices, confidential client secrets should only be stored and used server-side.  ## Current behavior  1. `OIDC_RP_CLIENT_SECRET` is injected into browser-accessible JavaScript in two ways:    - At runtime via `env-config.js` (`window.OIDC_RP_CLIENT_SECRET`) ΓÇö written by `start-prod.sh`    - At build time via webpack `DefinePlugin` (`process.env.OIDC_RP_CLIENT_SECRET`) ΓÇö in `webpack.config.js` 2. The `OIDLoginCallback` component (`src/components/users/OIDLoginCallback.jsx`) reads the secret from the browser context and sends it in a POST request to the backend's `oidc/code-exchange/` endpoint 3. The backend (`core/users/views.py` ΓÇö `OIDCodeExchangeView`) receives `client_id` and `client_secret` from the request body and uses them to exchange the authorization code for a token  ## Expected behavior  The backend should store `OIDC_RP_CLIENT_ID` and `OIDC_RP_CLIENT_SECRET` in its own environment and use them server-side during the code exchange. The frontend should only send `code` and `redirect_uri`.  ## Step 1: Ecosystem-wide audit (REQUIRED FIRST)  OCL Online is a complex ecosystem with many independent services and applications. Before making any code changes, a thorough audit must be conducted across the entire OCL Online ecosystem to identify **all** clients, applications, and services that handle OIDC client secrets in a similar way. This includes but is not limited to: - `oclweb3` and `oclweb2` (frontends) - `oclapi2` (backend) - Any other services that participate in OIDC flows (e.g. FHIR services, analytics, admin tools) - Docker compose configurations and deployment scripts across all environments - KeyCloak client registrations and their configurations  The goal is to ensure that all affected components are revised together, not just the ones identified so far.  ## Proposed changes (pending audit results)  **Backend (`oclapi2`):** - `core/settings.py`: Populate `OIDC_RP_CLIENT_ID` and `OIDC_RP_CLIENT_SECRET` from environment variables (placeholder settings already exist at lines 564-582) - `core/users/views.py`: Update `OIDCodeExchangeView.post()` to read `client_id` / `client_secret` from `settings` instead of the request body - `core/integration_tests/tests_users.py`: Update `OIDCodeExchangeViewTest` to match new endpoint contract  **Frontend (`oclweb3`):** - `src/components/users/OIDLoginCallback.jsx`: Only send `code` and `redirect_uri` in the POST to `oidc/code-exchange/` - `webpack.config.js`: Remove `OIDC_RP_CLIENT_SECRET` from `DefinePlugin` - `start-prod.sh`: Remove `OIDC_RP_CLIENT_SECRET` from `env-config.js` generation - `src/common/utils.js`: Update `isSSOEnabled()` to check only `LOGIN_REDIRECT_URL` + `OIDC_RP_CLIENT_ID` (since the secret would no longer be in the frontend)  **Other services:** To be determined by the audit in Step 1.  ## Deployment note  Requires coordinated deployment: backend first (accept both old and new request formats during transition), then frontends/services, then remove backward compatibility from backend.  ## Labels  Security, oclweb3, oclapi2"
"2425","Mapping search: concept query param silently ignored on repo-scoped endpoint","OPEN","(none)","api2, reviewed/keep","","2026-03-25","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/2425","## Summary  The `concept` query parameter on the mapping search endpoint (`GET /orgs/:org/sources/:source/mappings/?concept=116128`) is documented as filtering by ""from or to concept"" but is silently ignored. Results are identical to querying without the parameter.  `fromConcept` and `toConcept` work correctly. Only `concept` (the bidirectional filter) is broken.  ## Steps to Reproduce  ```bash # These return identical results ΓÇö concept param is silently ignored curl -s ""https://api.openconceptlab.org/orgs/CIEL/sources/CIEL/mappings/?concept=116128&limit=3"" curl -s ""https://api.openconceptlab.org/orgs/CIEL/sources/CIEL/mappings/?limit=3""  # fromConcept and toConcept work correctly curl -s ""https://api.openconceptlab.org/orgs/CIEL/sources/CIEL/mappings/?toConcept=116128&limit=3""  # returns 4 results ```  ## Root Cause  `concept` is not defined as a faceted field in `core/mappings/models.py` `es_fields`, so it gets dropped during `get_faceted_filters()` processing in `core/common/views.py`. The `fromConcept` and `toConcept` fields are properly defined as faceted, but there is no bidirectional `concept` equivalent.  ## Expected Behavior  `concept=116128` should return mappings where 116128 appears as either `from_concept_code` or `to_concept_code`.  ## Workaround  Use `fromConcept` and `toConcept` separately."
